Device name;OS;OS version;Last check-in;Category;Model;Serial number;DATE D'entree
PSN-25352524212743;Android (Dedicated);15;2026-07-03 10:12:52.0000000;SN - INEXTENSO POINT E;TC53E;25352524212743;05 juin 2026
PSN-25352524212744;Android (Dedicated);15;2026-07-07 10:17:41.5500000;;TC53E;25352524212744;05 juin 2026
PSN-25352524212745;Android (Dedicated);15;2026-07-07 08:56:52.2770000;SN - Entrepôt Thiaroye;TC53E;25352524212745;05 juin 2026
PSN-25352524212748;Android (Dedicated);15;2026-07-07 11:09:18.6750000;SN - THIES I;TC53E;25352524212748;05 juin 2026
PSN-25352524212750;Android (Dedicated);13;2026-07-07 06:03:00.1330000;SN - Entrepôt Thiaroye;TC53E;25352524212750;05 juin 2026
PSN-25352524212751;Android (Dedicated);15;2026-07-07 06:45:26.1100000;SN - Entrepôt Thiaroye;TC53E;25352524212751;05 juin 2026
PSN-25352524212755;Android (Dedicated);15;2026-06-18 12:19:04.0000000;SN - E-COMMERCE;TC53E;25352524212755;05 juin 2026
PSN-25352524212757;Android (Dedicated);15;2026-07-06 22:10:39.2780000;SN - Entrepôt Thiaroye;TC53E;25352524212757;05 juin 2026
PSN-25352524212758;Android (Dedicated);15;2026-07-07 12:54:25.6320000;SN - KAOLACK;TC53E;25352524212758;05 juin 2026
PSN-25352524212760;Android (Dedicated);15;2026-07-07 07:01:55.9250000;SN - HYPER MERMOZ;TC53E;25352524212760;05 juin 2026
PSN-25352524212763;Android (Dedicated);15;2026-07-07 07:45:24.7500000;;TC53E;25352524212763;05 juin 2026
PSN-25352524212766;Android (Dedicated);15;2026-07-07 08:02:21.0250000;SN - Entrepôt Thiaroye;TC53E;25352524212766;05 juin 2026
PSN-25352524212769;Android (Dedicated);15;2026-07-07 11:14:03.7090000;SN - Entrepôt Thiaroye;TC53E;25352524212769;05 juin 2026
PSN-25352524212770;Android (Dedicated);15;2026-07-07 11:17:21.8120000;SN - DIAMNIADIO;TC53E;25352524212770;05 juin 2026
PSN-25352524212771;Android (Dedicated);15;2026-07-07 07:00:13.4650000;SN - Entrepôt Thiaroye;TC53E;25352524212771;05 juin 2026
PSN-25352524212774;Android (Dedicated);15;2026-07-06 19:34:30.4970000;SN - Entrepôt Thiaroye;TC53E;25352524212774;05 juin 2026
PSN-25352524212777;Android (Dedicated);15;2026-07-07 11:05:58.4770000;SN - MBOUR;TC53E;25352524212777;05 juin 2026
PSN-25352524212778;Android (Dedicated);15;2026-07-07 12:05:49.9010000;SN - MAIRIE;TC53E;25352524212778;05 juin 2026
PSN-25352524212781;Android (Dedicated);15;2026-07-07 08:56:51.7530000;SN - Entrepôt Thiaroye;TC53E;25352524212781;05 juin 2026
PSN-25352524212782;Android (Dedicated);15;2026-07-07 05:05:57.7280000;SN - Entrepôt Thiaroye;TC53E;25352524212782;05 juin 2026
PSN-25352524212785;Android (Dedicated);15;2026-07-07 12:15:09.1130000;SN - SALY CITY;TC53E;25352524212785;05 juin 2026
PSN-25352524212786;Android (Dedicated);15;2026-07-07 05:14:53.5860000;SN - Entrepôt Thiaroye;TC53E;25352524212786;05 juin 2026
PSN-25352524212788;Android (Dedicated);15;2026-07-07 09:13:57.1410000;SN - Entrepôt Thiaroye;TC53E;25352524212788;05 juin 2026
PSN-25352524212789;Android (Dedicated);15;2026-07-03 14:10:26.0000000;SN - SOPRIM;TC53E;25352524212789;05 juin 2026
PSN-25352524212790;Android (Dedicated);15;2026-07-06 22:59:16.9790000;SN - Entrepôt Thiaroye;TC53E;25352524212790;05 juin 2026
PSN-25352524212791;Android (Dedicated);15;2026-07-07 10:58:11.3360000;SN - KAOLACK;TC53E;25352524212791;05 juin 2026
PSN-25352524212794;Android (Dedicated);15;2026-07-07 09:27:54.9100000;SN - MARISTES;TC53E;25352524212794;05 juin 2026
PSN-25352524212795;Android (Dedicated);15;2026-07-07 12:32:55.0580000;SN - SALY CITY;TC53E;25352524212795;05 juin 2026
PSN-25352524212796;Android (Dedicated);15;2026-07-04 16:46:10.0000000;SN - INEXTENSO PORT;TC53E;25352524212796;05 juin 2026
PSN-25352524212797;Android (Dedicated);15;2026-07-07 12:36:03.9340000;SN - SOPRIM;TC53E;25352524212797;05 juin 2026
PSN-25352524212798;Android (Dedicated);15;2026-07-07 12:50:03.4120000;SN - SALY CENTER;TC53E;25352524212798;05 juin 2026
PSN-25352524212800;Android (Dedicated);15;2026-07-01 13:02:49.9130000;SN - HYPER MERMOZ;TC53E;25352524212800;05 juin 2026
PSN-25352524212801;Android (Dedicated);15;2026-07-07 10:36:20.9380000;SN - HYPER MERMOZ;TC53E;25352524212801;05 juin 2026
PSN-25352524212803;Android (Dedicated);15;2026-07-06 20:26:54.7810000;SN - HYPER MERMOZ;TC53E;25352524212803;05 juin 2026
PSN-25352524212805;Android (Dedicated);15;2026-07-07 10:36:09.1150000;SN - Entrepôt Thiaroye;TC53E;25352524212805;05 juin 2026
PSN-25352524212806;Android (Dedicated);15;2026-07-06 19:51:14.1890000;SN - Entrepôt Thiaroye;TC53E;25352524212806;05 juin 2026
PSN-25352524212807;Android (Dedicated);15;2026-07-07 12:15:33.7080000;SN - E-COMMERCE;TC53E;25352524212807;05 juin 2026
PSN-25352524212809;Android (Dedicated);15;2026-07-07 09:08:19.2860000;SN - Entrepôt Thiaroye;TC53E;25352524212809;05 juin 2026
PSN-25352524212810;Android (Dedicated);15;2026-07-06 19:32:51.6780000;SN - DIAMNIADIO;TC53E;25352524212810;05 juin 2026
PSN-25352524212811;Android (Dedicated);15;2026-07-07 06:47:24.2680000;SN - LIBERTE 5;TC53E;25352524212811;05 juin 2026
PSN-25352524212813;Android (Dedicated);15;2026-07-07 12:18:19.2770000;SN - MBOUR;TC53E;25352524212813;05 juin 2026
PSN-25352524212818;Android (Dedicated);15;2026-07-07 05:02:57.2890000;SN - Entrepôt Thiaroye;TC53E;25352524212818;05 juin 2026
PSN-25352524212819;Android (Dedicated);15;2026-07-07 12:49:44.7330000;;TC53E;25352524212819;05 juin 2026
PSN-25352524212822;Android (Dedicated);15;2026-07-07 10:41:41.5090000;SN - Entrepôt Thiaroye;TC53E;25352524212822;05 juin 2026
PSN-25352524212823;Android (Dedicated);15;2026-07-07 12:48:12.1760000;;TC53E;25352524212823;05 juin 2026
PSN-25352524212824;Android (Dedicated);15;2026-07-07 09:00:20.5590000;SN - Entrepôt Thiaroye;TC53E;25352524212824;05 juin 2026
PSN-25352524212826;Android (Dedicated);15;2026-07-07 11:02:15.2900000;SN - E-COMMERCE;TC53E;25352524212826;05 juin 2026
PSN-25352524212828;Android (Dedicated);15;2026-07-02 21:48:51.0000000;SN - ZIGUINCHOR;TC53E;25352524212828;05 juin 2026
PSN-25352524212833;Android (Dedicated);15;2026-07-07 06:59:02.6510000;;TC53E;25352524212833;05 juin 2026
PSN-25352524212835;Android (Dedicated);15;2026-07-07 09:19:48.7830000;SN - Entrepôt Thiaroye;TC53E;25352524212835;05 juin 2026
PSN-25352524212837;Android (Dedicated);15;2026-07-07 10:52:51.2680000;SN - Entrepôt Thiaroye;TC53E;25352524212837;05 juin 2026
PSN-25352524212838;Android (Dedicated);15;2026-07-02 12:36:10.6700000;SN - INEXTENSO OUAKAM;TC53E;25352524212838;05 juin 2026
PSN-25352524212840;Android (Dedicated);15;2026-07-06 00:01:34.0460000;SN - INEXTENSO MARISTES;TC53E;25352524212840;05 juin 2026
PSN-25352524212841;Android (Dedicated);15;2026-07-07 08:01:18.5530000;SN - Entrepôt Thiaroye;TC53E;25352524212841;05 juin 2026
PSN-25352524212849;Android (Dedicated);15;2026-07-07 11:20:45.6020000;;TC53E;25352524212849;05 juin 2026
PSN-25352524212854;Android (Dedicated);15;2026-07-02 09:18:23.0000000;SN - KEUR MASSAR;TC53E;25352524212854;05 juin 2026
PSN-25352524212856;Android (Dedicated);15;2026-07-01 12:36:25.7750000;SN - LIBERTE 6;TC53E;25352524212856;05 juin 2026
PSN-25352524212857;Android (Dedicated);15;2026-07-07 09:17:42.7570000;SN - Entrepôt Thiaroye;TC53E;25352524212857;05 juin 2026
PSN-25352524212859;Android (Dedicated);15;2026-07-07 09:07:34.9370000;SN - Entrepôt Thiaroye;TC53E;25352524212859;05 juin 2026
PSN-25352524212860;Android (Dedicated);15;2026-07-07 01:12:12.5540000;SN - Entrepôt Thiaroye;TC53E;25352524212860;05 juin 2026
PSN-25352524212864;Android (Dedicated);15;2026-07-07 11:11:22.5490000;SN - Entrepôt Thiaroye;TC53E;25352524212864;05 juin 2026
PSN-25352524212865;Android (Dedicated);15;2026-07-07 11:08:39.2740000;SN - Entrepôt Thiaroye;TC53E;25352524212865;05 juin 2026
PSN-25352524212866;Android (Dedicated);15;2026-07-07 11:53:34.9740000;SN - Entrepôt Thiaroye;TC53E;25352524212866;05 juin 2026
PSN-25352524212868;Android (Dedicated);15;2026-07-07 10:53:32.4020000;SN - Entrepôt Thiaroye;TC53E;25352524212868;05 juin 2026
PSN-25352524212873;Android (Dedicated);15;2026-07-07 08:11:29.1150000;SN - Entrepôt Thiaroye;TC53E;25352524212873;05 juin 2026
PSN-25352524212874;Android (Dedicated);15;2026-07-07 12:45:15.9150000;SN - SAINT LOUIS;TC53E;25352524212874;05 juin 2026
PSN-25352524212878;Android (Dedicated);15;2026-06-23 14:11:14.0000000;SN - POINT E1;TC53E;25352524212878;05 juin 2026
PSN-25352524212880;Android (Dedicated);15;2026-07-07 10:40:47.4850000;SN - Entrepôt Thiaroye;TC53E;25352524212880;05 juin 2026
PSN-25352524212883;Android (Dedicated);15;2026-07-07 11:59:01.8840000;SN - SOPRIM;TC53E;25352524212883;05 juin 2026
PSN-25352524212884;Android (Dedicated);15;2026-07-07 08:51:34.9840000;SN - SACRE-COEUR;TC53E;25352524212884;05 juin 2026
PSN-25352524212885;Android (Dedicated);15;2026-07-06 20:31:58.1980000;SN - TIVAOUANE;TC53E;25352524212885;05 juin 2026
PSN-25352524212886;Android (Dedicated);15;2026-07-07 08:34:45.3310000;SN - Entrepôt Thiaroye;TC53E;25352524212886;05 juin 2026
PSN-25352524212888;Android (Dedicated);15;2026-07-07 11:54:47.6340000;SN - Entrepôt Thiaroye;TC53E;25352524212888;05 juin 2026
PSN-25352524212890;Android (Dedicated);15;2026-07-07 08:46:21.6520000;SN - Entrepôt Thiaroye;TC53E;25352524212890;05 juin 2026
PSN-25352524212891;Android (Dedicated);15;2026-06-16 08:46:25.0000000;SN - Entrepôt Thiaroye;TC53E;25352524212891;05 juin 2026
PSN-25352524212891;Android (Dedicated);15;2026-07-07 11:39:42.8500000;SN - Entrepôt Thiaroye;TC53E;25352524212891;05 juin 2026
PSN-25352524212892;Android (Dedicated);15;2026-07-07 11:54:21.9470000;SN - Entrepôt Thiaroye;TC53E;25352524212892;05 juin 2026
PSN-25352524212894;Android (Dedicated);15;2026-07-07 10:22:31.3100000;SN - Entrepôt Thiaroye;TC53E;25352524212894;05 juin 2026
PSN-25352524212898;Android (Dedicated);15;2026-06-19 19:43:20.0000000;SN - GIBRALTAR;TC53E;25352524212898;05 juin 2026
PSN-25352524212902;Android (Dedicated);15;2026-07-03 06:54:35.0000000;SN - INEXTENSO POINT E;TC53E;25352524212902;05 juin 2026
PSN-25352524212904;Android (Dedicated);15;2026-07-07 00:02:50.0740000;SN - Entrepôt Thiaroye;TC53E;25352524212904;05 juin 2026
